DATE,MNO W,MNO X,MNO Y,MNO Z,,,
7/31/2018,98.760,99.000,98.560,98.510,,,
8/1/2018,97.560,99.245,98.560,98.570,,,
8/2/2018,95.980,99.340,96.560,98.910,,,
8/3/2018,98.760,99.234,96.450,99.440,,,
8/4/2018,97.450,98.670,97.400,98.780,,,
8/5/2018,90.000,98.000,97.700,97.110,,,
8/6/2018,98.450,99.340,98.800,98.160,,,
8/7/2018,96.650,99.245,98.560,98.580,,,
8/8/2018,94.450,99.230,98.560,99.300,,,
8/9/2018,89.980,99.120,98.450,97.510,,,
8/10/2018,97.560,98.340,98.340,98.580,,,
8/11/2018,98.090,99.230,97.230,98.980,,,
8/12/2018,89.980,99.340,98.600,98.720,,,
8/13/2018,89.550,99.090,98.670,99.210,,,
8/14/2018,97.540,98.670,98.380,98.710,,,
8/15/2018,96.420,99.120,97.560,98.940,,,
8/16/2018,97.540,99.210,97.850,99.350,,,
8/17/2018,98.560,99.120,97.450,98.170,,,
8/18/2018,98.670,99.100,98.980,99.290,,,
8/19/2018,98.680,99.250,97.320,99.220,,,
8/20/2018,98.640,99.240,99.080,98.760,,,
8/21/2018,98.680,98.560,98.540,99.300,,,
8/22/2018,98.760,98.680,97.980,99.240,,,
8/23/2018,98.540,99.020,98.320,98.670,,,
8/24/2018,98.560,99.120,98.120,98.910,,,
8/25/2018,97.860,99.000,98.650,99.200,,,
8/26/2018,97.760,99.230,97.450,99.510,,,
8/27/2018,99.080,99.123,98.780,97.940,,,
8/28/2018,98.620,99.340,96.560,98.790,,,
8/29/2018,99.320,99.000,98.120,99.240,,,
8/30/2018,89.980,99.240,98.080,99.110,,,
8/31/2018,98.560,98.450,93.870,99.170,,,
9/1/2018,96.780,98.960,95.430,99.280,,,
9/2/2018,97.560,99.000,98.540,98.840,,,
9/3/2018,98.700,99.230,95.340,97.980,,,
9/4/2018,98.540,98.230,97.320,98.210,,,
9/5/2018,97.770,98.780,98.870,98.580,,,
9/6/2018,98.900,99.090,98.320,99.180,,,
9/7/2018,98.120,99.320,95.600,99.130,,,
9/8/2018,97.880,99.230,97.560,98.640,,,
9/9/2018,98.560,99.230,98.450,98.510,,,
9/10/2018,98.780,99.310,98.450,98.910,,,
9/11/2018,97.320,99.450,97.450,98.710,,,
9/12/2018,95.500,99.230,98.450,97.770,,,
9/13/2018,98.810,99.120,97.650,98.440,,,
9/14/2018,98.430,99.340,95.670,98.720,,,
9/15/2018,99.020,99.140,90.540,99.160,,,
9/16/2018,97.320,99.255,97.450,99.340,,,
9/17/2018,95.500,99.320,95.320,99.000,,,
9/18/2018,98.810,99.210,98.540,98.970,,,
9/19/2018,98.430,99.123,98.450,98.880,,,
9/20/2018,97.450,98.560,98.450,98.220,,,
9/21/2018,96.350,98.000,98.870,98.710,,,
9/22/2018,95.080,99.040,96.780,99.120,,,
9/23/2018,99.490,99.210,97.560,99.230,,,
9/24/2018,98.330,99.430,97.780,98.410,,,
9/25/2018,99.570,99.270,98.670,98.450,,,
9/26/2018,98.230,98.340,98.670,99.310,,,
9/27/2018,97.420,99.000,98.560,99.000,,,
9/28/2018,97.770,98.680,99.090,98.910,,,
9/29/2018,98.980,99.255,98.870,99.220,,,
9/30/2018,98.450,99.320,98.090,98.710,,,
10/1/2018,98.450,99.210,98.560,99.120,,,
10/2/2018,99.080,99.123,97.560,99.230,,,
10/3/2018,99.040,98.560,98.670,98.410,,,
10/4/2018,98.540,98.000,98.560,96.820,,,
10/5/2018,98.560,99.040,97.560,99.310,,,
10/6/2018,97.870,99.210,97.890,99.210,,,
10/7/2018,98.230,99.320,99.050,98.710,,,
10/8/2018,98.120,98.000,99.120,99.120,,,
10/9/2018,99.050,98.890,98.560,99.230,,,
10/10/2018,98.340,99.230,98.560,98.410,,,
10/11/2018,98.670,99.120,98.980,98.460,,,
10/12/2018,99.230,98.540,98.120,99.310,,,
10/13/2018,99.230,99.000,98.210,98.650,,,
10/14/2018,98.340,98.000,98.720,99.210,,,
10/15/2018,98.340,98.670,99.300,98.410,,,
10/16/2018,98.980,99.000,98.540,97.340,,,
10/17/2018,99.230,98.540,97.360,99.310,,,
10/18/2018,99.120,99.230,96.730,99.210,,,
10/19/2018,99.010,99.230,98.560,98.710,,,
10/20/2018,97.560,99.320,98.450,99.120,,,
10/21/2018,97.670,98.670,98.450,99.230,,,
10/22/2018,98.670,97.780,97.250,99.210,,,
10/23/2018,98.660,99.000,97.450,98.410,,,
10/24/2018,97.980,98.560,98.560,98.460,,,
10/25/2018,98.560,98.560,97.760,99.310,,,
10/26/2018,99.120,99.080,98.600,98.650,,,
10/27/2018,99.210,98.670,97.980,99.210,,,
10/28/2018,98.550,98.000,98.560,98.410,,,
10/29/2018,98.090,99.320,97.560,89.640,,,
10/30/2018,98.670,88.540,98.650,99.310,,,
10/31/2018,97.780,98.560,98.670,99.210,,,
11/1/2018,99.060,98.870,98.670,99.100,,,
11/2/2018,99.120,99.056,98.450,98.860,,,
11/3/2018,98.550,99.230,97.930,90.230,,,
11/4/2018,98.780,99.120,97.660,99.310,,,
11/5/2018,98.566,98.670,98.540,99.210,,,
11/6/2018,98.660,99.210,89.980,98.710,,,
11/7/2018,97.890,97.450,98.560,99.120,,,
11/8/2018,98.560,97.000,98.780,99.230,,,
11/9/2018,99.180,99.300,98.240,99.210,,,
11/10/2018,99.140,98.570,98.450,98.410,,,
11/11/2018,98.450,98.780,97.670,98.460,,,
11/12/2018,98.980,98.230,97.240,99.310,,,
11/13/2018,98.670,98.230,97.450,99.310,,,
11/14/2018,99.080,99.230,95.560,99.210,,,
11/15/2018,99.150,99.230,95.450,99.100,,,
11/16/2018,98.670,99.120,95.450,98.860,,,
11/17/2018,97.890,98.670,96.890,94.210,,,
11/18/2018,97.210,99.230,97.450,99.310,,,
11/19/2018,98.670,99.000,98.120,99.210,,,
11/20/2018,98.890,99.120,97.870,98.710,,,
11/21/2018,99.230,99.430,97.980,99.120,,,
11/22/2018,99.340,98.430,98.040,99.230,,,
11/23/2018,98.560,99.020,97.560,98.980,,,
11/24/2018,98.450,99.210,93.650,99.320,,,
11/25/2018,98.780,98.540,87.760,99.310,,,
11/26/2018,98.980,97.560,89.080,99.210,,,
11/27/2018,99.050,98.670,89.060,99.100,,,
11/28/2018,99.960,99.000,92.340,98.860,,,
11/29/2018,99.080,99.000,96.760,89.870,,,
11/30/2018,98.650,99.450,96.340,99.310,,,
12/1/2018,97.890,98.450,97.670,99.210,,,
12/2/2018,98.870,98.440,97.880,98.710,,,
12/3/2018,99.090,98.980,97.340,99.120,,,
12/4/2018,99.320,98.670,98.860,99.230,,,
12/5/2018,98.450,98.560,98.920,98.980,,,
12/6/2018,98.540,98.670,96.560,99.320,,,
12/7/2018,98.320,99.600,98.560,99.310,,,
12/8/2018,98.640,99.230,96.760,99.210,,,
12/9/2018,97.870,99.120,97.120,99.100,,,
12/10/2018,98.980,99.270,98.080,98.860,,,
12/11/2018,99.430,99.230,98.870,97.920,,,
12/12/2018,99.210,99.170,98.040,99.310,,,
12/13/2018,98.670,99.280,99.020,99.210,,,
12/14/2018,98.990,98.340,98.860,98.710,,,
12/15/2018,99.380,98.230,98.420,99.120,,,
12/16/2018,99.500,96.340,98.680,99.430,,,
12/17/2018,98.230,98.230,97.450,99.540,,,
12/18/2018,98.120,99.450,98.980,99.080,,,
12/19/2018,97.890,98.870,96.980,99.170,,,
12/20/2018,98.540,99.230,99.100,98.790,,,
12/21/2018,98.980,98.890,98.320,98.980,,,
12/22/2018,98.980,99.070,97.870,98.990,,,
12/23/2018,98.560,99.020,99.060,99.440,,,
12/24/2018,99.320,99.230,98.650,99.380,,,
12/25/2018,99.420,99.170,97.680,99.170,,,
12/26/2018,99.430,99.240,98.680,99.440,,,
12/27/2018,99.320,99.160,97.780,98.750,,,
12/28/2018,99.430,99.240,98.560,99.170,,,
12/29/2018,99.421,99.190,98.560,98.560,,,
12/30/2018,98.163,99.260,98.980,99.310,,,
12/31/2018,99.764,98.890,99.080,99.160,,,
1/1/2019,99.210,99.210,98.540,99.480,,,
1/2/2019,99.340,98.430,98.650,98.870,,,
1/3/2019,98.420,98.320,97.780,98.870,,,
1/4/2019,98.880,98.980,98.780,98.640,,,
1/5/2019,99.520,99.170,98.650,99.060,,,
1/6/2019,97.210,99.320,98.320,97.760,,,
1/7/2019,99.010,98.870,98.450,98.890,,,
1/8/2019,97.030,99.230,98.980,98.540,,,
1/9/2019,98.980,99.120,97.990,98.780,,,
1/10/2019,99.160,98.980,98.650,99.010,,,
1/11/2019,97.540,98.980,97.780,99.420,,,
1/12/2019,98.640,98.670,99.340,98.710,,,
1/13/2019,97.880,99.120,98.560,99.540,,,
1/14/2019,98.110,99.230,98.760,99.170,,,
1/15/2019,95.310,98.670,98.890,98.940,,,
1/16/2019,97.540,98.870,98.680,97.980,,,
1/17/2019,97.120,99.230,97.670,99.210,,,
1/18/2019,97.860,99.340,97.890,99.050,,,
1/19/2019,98.880,98.780,98.860,98.270,,,
1/20/2019,97.340,98.470,97.540,98.660,,,
1/21/2019,98.190,97.670,98.320,99.010,,,
1/22/2019,97.120,99.230,98.430,99.210,,,
1/23/2019,96.880,99.000,98.460,99.210,,,
1/24/2019,97.860,99.050,98.680,98.790,,,
1/25/2019,98.880,98.970,98.720,99.120,,,
1/26/2019,99.220,98.230,97.670,98.730,,,
1/27/2019,99.210,97.790,98.650,97.150,,,
1/28/2019,98.760,99.340,95.890,98.980,,,
1/29/2019,98.450,99.120,98.540,99.110,,,
1/30/2019,98.310,99.140,98.560,97.950,,,
1/31/2019,98.880,99.230,97.780,98.160,,,
2/1/2019,97.980,98.890,98.210,98.940,,,
2/2/2019,99.040,98.940,97.980,98.780,,,
2/3/2019,99.010,99.290,97.720,98.630,,,
2/4/2019,98.650,99.000,95.690,99.540,,,
2/5/2019,97.340,98.780,94.980,98.780,,,
2/6/2019,98.210,98.000,98.560,98.890,,,
2/7/2019,96.540,99.300,97.780,98.980,,,
2/8/2019,98.330,99.240,98.680,99.210,,,
2/9/2019,98.680,99.350,98.680,98.980,,,
2/10/2019,98.430,98.680,98.780,99.210,,,
2/11/2019,99.050,98.680,98.980,99.320,,,
2/12/2019,98.980,96.780,97.780,98.980,,,
2/13/2019,98.480,99.780,98.650,99.230,,,
2/14/2019,97.980,99.450,98.600,98.560,,,
2/15/2019,99.420,99.230,98.670,99.320,,,
2/16/2019,96.980,99.440,98.980,99.120,,,
2/17/2019,98.980,98.780,98.560,98.760,,,
